itsp_track_sym,x8_track_sym,jcp_track_sym,jcp_track_name,gts_track_name,chart_file_sym,confirm_waw_sym,meet_sym,WN,PL,SH,EX,QU,TR,SU,SH5,DB,P3,P4,P5,P6,min_WN,min_PL,min_SH,min_EX,min_QN,min_TR,min_SU,min_SH5,min_DD,min_P3,min_P4,min_P5,min_P6,min_P7
AMD,PLN,PLN,PLEASANTON,Pleasanton,PLN,,No Code,0.040350000000000004,0.040350000000000004,0.040350000000000004,0.0766,0.0,0.0816,0.0816,0.0816,0.0766,0.0816,0.0816,0.0816,0.0816,0.0004035,0.0004035,0.0004035,0.000766,0,0.000816,0.000816,[0.2],"[1.0, 2.0]",[1.0],[0.5],[0.5],[0.2],
POR,PMX,PMX,PORTLAND MEADOWS,Portland Mead.,PM,,No Code,0.0355,0.0355,0.0355,0.0520,,0.0575,0.0575,0.00,0.0520,0.0575,0.0135,0.0190,0.0575,,,,,,,,,,,,,,
,PNL,PNL,PINNACLE RACE COURSE,,PNL,,No Code,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POD,POD,POCATELLO DOWNS,,POD,,No Code,,,,,,,,,,,,,,,,,,,,,,,,,,,
PMM,PRM,PRM,PRAIRIE MEADOWS,Prairie Meadows,PRM,PMM,PMM,0.0735,0.0735,0.0735,0.1035,0.1035,0.1335,0.1035,0.0,0.1035,0.0935,0.0535,0.0535,0.1035,,,,,,,,,,,,,,
,PRV,PRV,CROOKED RIVER ROUNDUP,,PRV,,No Code,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PWX,PWX,PERCY WARNER,,PW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RDM,RDM,RED MILE,,RDM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RDX,RDX,RIVER DOWNS,,RD,,No Code,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTN,RET,RET,RETAMA PARK,Retama Park,RET,RTN,RTN,0.0765,0.0765,0.0765,0.10650000000000001,0.0,0.14650000000000002,0.14650000000000002,0.14650000000000002,0.0165,0.0165,0.14650000000000002,0.0,0.0,[2.0],[2.0],[2.0],[1.0],,[0.1],[0.1],[0.1],[1.0],[0.5],[0.5],,,
RID,RIL,RIL,RILLITO,,RIL,RIL,RIL,0.155,0.155,0.155,0.185,0.185,0.185,0.0,0.0,0.185,0.185,0.0,0.0,0.0,[2.0],[2.0],[2.0],"[1.0, 2.0]",[2.0],"[1.0, 2.0]",,,[2.0],[1.0],,,,
RED,RPX,RPX,REMINGTON PARK,Remington Park,RP,RED,RED,0.1015,0.1015,0.1015,0.1315,0.1315,0.16149999999999998,0.16149999999999998,0.16149999999999998,0.1315,0.17149999999999999,0.17149999999999999,0.17149999999999999,0.17149999999999999,[2.0],[2.0],[2.0],"[1.0, 2.0]",,[0.5],[0.1],,[2.0],[0.5],[0.5],[0.5],,
RUD,RUI,RUI,RUIDOSO DOWNS,Ruidoso Downs,RUI,RUD,RUD,0.1165,0.1165,0.1165,0.14650000000000002,0.0,0.1765,0.1765,0.1765,0.14650000000000002,0.1765,0.1765,0.0,0.0,[2.0],[2.0],[2.0],[1.0],,[1.0],[0.2],,[2.0],[0.5],[0.5],,,
,SAC,SAC,SACRAMENTO,Sacramento,SAC,,No Code,,,,,,,,,,,,,,,,,,,,,,,,,,,
STD,SAR,SAR,SARATOGA,Saratoga,SAR,STD,STD,0.0415,0.0415,0.0415,0.0415,0.0415,0.0965,0.0965,0.0965,0.0415,0.0965,0.0965,0.006500000000000001,0.006500000000000001,[1.0],[1.0],[1.0],[1.0],[1.0],[0.5],[0.1],,[1.0],[1.0],[0.5],[0.5],[2.0],
SAD,SAX,SAX,SANTA ANITA PARK,Santa Anita,SA,SAD,SAD,0.00,0.00,0.00,0.0272,,0.0312,0.0312,0.0312,0.0165,0.0312,0.0312,0.00,0.0312,,,,,,,,,,,,,,
,SDY,SDY,SANDY DOWNS,,SDY,,No Code,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SND,SND,SUNFLOWER,,SND,,No Code,,,,,,,,,,,,,,,,,,,,,,,,,,,
